id,user_id,restaurant_id,menu_item_id,reviews,date,sentiment
1,DEFAULT,R00001,M00001,The pepperoni pizza at this place is the best Ive ever had. Perfectly crispy crust and generous pepperoni topping.,11-Nov-23,1
2,DEFAULT,R00001,M00001,"If youre a pepperoni lover, you wont be disappointed. The pizza here is a pepperoni paradise.",11-Nov-23,1
3,DEFAULT,R00001,M00001,I cant resist the amazing aroma and taste of their pepperoni pizza. Its simply irresistible.,11-Nov-23,1
4,DEFAULT,R00001,M00001,"Great balance of cheese, sauce, and pepperoni - its like a slice of heaven!",11-Nov-23,1
5,DEFAULT,R00001,M00001,"Every time Im in the mood for pizza, I crave their pepperoni. Its a slice of perfection.",11-Nov-23,1
6,DEFAULT,R00001,M00001,"This pizza has the right amount of spice from the pepperoni, and its a flavor explosion in your mouth.",11-Nov-23,1
7,DEFAULT,R00001,M00001,"Ive tried pepperoni pizza all over, and this place consistently serves the best.",11-Nov-23,1
8,DEFAULT,R00001,M00001,"The pepperoni on this pizza is top-notch; its savory and has a nice, crispy edge.",11-Nov-23,1
9,DEFAULT,R00001,M00001,A classic pepperoni pizza done right. You cant go wrong with this choice.,11-Nov-23,1
10,DEFAULT,R00001,M00001,"The pepperoni pizza is comfort food at its finest. Its warm, cheesy, and always hits the spot.",11-Nov-23,1
11,DEFAULT,R00001,M00001,I dream about their pepperoni pizza. Its the stuff of pizza fantasies!,11-Nov-23,1
12,DEFAULT,R00001,M00001,"The pepperoni is perfectly spaced out, ensuring every bite has that spicy, meaty goodness.",11-Nov-23,1
13,DEFAULT,R00001,M00001,This pizza is like a celebration of pepperoni. Its a party in your mouth!,11-Nov-23,1
14,DEFAULT,R00001,M00001,Ive never met a pepperoni pizza I loved more. Its a slice of pure joy.,11-Nov-23,1
15,DEFAULT,R00001,M00001,"This pepperoni pizza is my go-to, and it never disappoints. Its consistently delicious.",11-Nov-23,1
16,DEFAULT,R00001,M00001,"The combination of crispy crust, gooey cheese, and zesty pepperoni is unbeatable.",11-Nov-23,1
17,DEFAULT,R00001,M00001,Pepperoni perfection! The flavor and texture are always on point.,11-Nov-23,1
18,DEFAULT,R00001,M00001,"If I had to pick my last meal, it would definitely include their pepperoni pizza.",11-Nov-23,1
19,DEFAULT,R00001,M00001,Their pepperoni pizza has the ideal cheese-to-pepperoni ratio. Its pizza magic.,11-Nov-23,1
20,DEFAULT,R00001,M00001,You can taste the quality in every slice of their pepperoni pizza. Its pure bliss.,11-Nov-23,1
21,DEFAULT,R00001,M00001,Im convinced that their pepperoni pizza has special powers. Its that good.,11-Nov-23,1
22,DEFAULT,R00001,M00001,The pepperoni here is like a spicy hug in every bite. Im hooked!,11-Nov-23,1
23,DEFAULT,R00001,M00001,"Ive been coming here for years, and their pepperoni pizza never fails to satisfy my cravings.",11-Nov-23,1
24,DEFAULT,R00001,M00001,Pepperoni pizza this good should be illegal. Its dangerously delicious!,11-Nov-23,1
25,DEFAULT,R00001,M00001,This is the gold standard of pepperoni pizza. It sets the bar high.,11-Nov-23,1
26,DEFAULT,R00001,M00001,"I cant get enough of the spicy, savory perfection that is their pepperoni pizza.",11-Nov-23,1
27,DEFAULT,R00001,M00001,"Their pepperoni pizza is a work of art, a masterpiece of flavor.",11-Nov-23,1
28,DEFAULT,R00001,M00001,The way the pepperoni curls and crisps up on this pizza is truly a thing of beauty.,11-Nov-23,1
29,DEFAULT,R00001,M00001,I always come back for the amazing pepperoni pizza. Its love at first bite.,11-Nov-23,1
30,DEFAULT,R00001,M00001,"When I need a pick-me-up, their pepperoni pizza is my instant mood lifter.",11-Nov-23,1
31,DEFAULT,R00001,M00001,The quality and taste of their pepperoni pizza is consistently outstanding.,11-Nov-23,1
32,DEFAULT,R00001,M00001,Their pepperoni pizza has the perfect blend of flavors. Its a symphony in your mouth.,11-Nov-23,1
33,DEFAULT,R00001,M00001,Im convinced theyve found the secret to the perfect pepperoni pizza.,11-Nov-23,1
34,DEFAULT,R00001,M00001,I cant find better pepperoni pizza anywhere. Its my happy place.,11-Nov-23,1
35,DEFAULT,R00001,M00001,The spiciness of the pepperoni gives this pizza an unforgettable kick.,11-Nov-23,1
36,DEFAULT,R00001,M00001,"If theres a pizza heaven, their pepperoni pizza is the gateway.",11-Nov-23,1
37,DEFAULT,R00001,M00001,"The pepperoni is the star, and the pizza is the stage. A delicious performance!",11-Nov-23,1
38,DEFAULT,R00001,M00001,"Ive traveled far and wide, and their pepperoni pizza still stands out as the best.",11-Nov-23,1
39,DEFAULT,R00001,M00001,Their pepperoni pizza is like a culinary masterpiece. Each bite is a revelation.,11-Nov-23,1
40,DEFAULT,R00001,M00001,"The pepperoni is packed with flavor, and the crust is perfection. Its a match made in pizza heaven.",11-Nov-23,1
41,DEFAULT,R00001,M00001,"This pepperoni pizza is my guilty pleasure, and Im not ashamed to admit it!",11-Nov-23,1
42,DEFAULT,R00001,M00001,"The pepperoni slices are like little flavor bombs, making every bite unforgettable.",11-Nov-23,1
43,DEFAULT,R00001,M00001,Ive lost count of how many times Ive ordered their pepperoni pizza. Its always amazing.,11-Nov-23,1
44,DEFAULT,R00001,M00001,Their pepperoni pizza is a taste sensation - a true masterpiece in the pizza world.,11-Nov-23,1
45,DEFAULT,R00001,M00001,The pepperoni pizza here is so good that Ive converted many friends into fans.,11-Nov-23,1
46,DEFAULT,R00001,M00001,A true pepperoni lovers paradise. The pizza is consistently excellent.,11-Nov-23,1
47,DEFAULT,R00001,M00001,"The secret ingredient is love, and you can taste it in every bite of their pepperoni pizza.",11-Nov-23,1
48,DEFAULT,R00001,M00001,"Ive tried many pepperoni pizzas, but this one is in a league of its own.",11-Nov-23,1
49,DEFAULT,R00001,M00001,"The combination of cheese, sauce, and pepperoni is a symphony of flavors.",11-Nov-23,1
50,DEFAULT,R00001,M00001,"If I were stranded on a deserted island, Id want their pepperoni pizza with me.",11-Nov-23,1
51,DEFAULT,R00001,M00001,Their pepperoni pizza is like a warm hug on a plate. Comfort food at its finest.,11-Nov-23,1
52,DEFAULT,R00001,M00001,"The pepperoni has just the right amount of kick, making each slice an adventure.",11-Nov-23,1
53,DEFAULT,R00001,M00001,Ive yet to find a pepperoni pizza that can top this one. Its a taste sensation.,11-Nov-23,1
54,DEFAULT,R00001,M00001,This pepperoni pizza is a culinary masterpiece. Its a must-try for pizza enthusiasts.,11-Nov-23,1
55,DEFAULT,R00001,M00001,I cant resist the allure of their perfectly baked pepperoni pizza. Its irresistible.,11-Nov-23,1
56,DEFAULT,R00001,M00001,Its not just pizza; its an experience. Their pepperoni pizza is pure satisfaction.,11-Nov-23,1
57,DEFAULT,R00001,M00001,The way the cheese melts over the pepperoni is sheer pizza perfection.,11-Nov-23,1
58,DEFAULT,R00001,M00001,Ive never met a pepperoni pizza that Ive fallen in love with like this one.,11-Nov-23,1
59,DEFAULT,R00001,M00001,Im always in the mood for their pepperoni pizza. Its a flavor explosion.,11-Nov-23,1
60,DEFAULT,R00001,M00001,Their pepperoni pizza is my go-to for celebrations. Its a party on a plate.,11-Nov-23,1
61,DEFAULT,R00001,M00001,"Ive traveled far and wide, and this is the pepperoni pizza that keeps calling me back.",11-Nov-23,1
62,DEFAULT,R00001,M00001,Ive become a regular because of their irresistible pepperoni pizza. Its that good.,11-Nov-23,1
63,DEFAULT,R00001,M00001,"The pepperoni has just the right amount of spice, and the cheese is heavenly.",11-Nov-23,1
64,DEFAULT,R00001,M00001,This pepperoni pizza is more than a meal; its an unforgettable experience.,11-Nov-23,1
65,DEFAULT,R00001,M00001,Its hard to put into words just how amazing their pepperoni pizza is. You have to taste it to believe it.,11-Nov-23,1
66,DEFAULT,R00001,M00001,"The pepperoni is the star of the show, and the pizza is its perfect supporting act.",11-Nov-23,1
67,DEFAULT,R00001,M00001,Ill never get tired of their pepperoni pizza. Its a slice of pure joy.,11-Nov-23,1
